,k=10,k=15,k=20,k=25,k=30,k=35,k=40,k=45,k=50,k=55,k=60
GCA_000240185.2_ASM24018v2_genomic.fna.gz,1.0,1.0,1.0,0.9995,1.0,1.0,1.0,0.9995,0.9990000000000001,1.0,0.9995
GCA_000364385.3_ASM36438v3_genomic.fna.gz,1.0,1.0,0.9990000000000001,1.0,1.0,0.9990000000000001,0.9995,0.9990000000000001,1.0,0.9990000000000001,1.0
GCA_000417225.2_ASM41722v2_genomic.fna.gz,1.0,0.9975,0.9985,0.9975,0.998,0.996,0.9965,0.9985,0.9945,0.993,0.9935
GCA_000597905.1_ASM59790v1_genomic.fna.gz,1.0,1.0,1.0,0.9995,1.0,1.0,0.9995,0.9985,1.0,0.9995,0.9990000000000001
GCA_000739495.1_ASM73949v1_genomic.fna.gz,1.0,0.971,0.966,0.9605,0.9590000000000001,0.9485,0.9505,0.9470000000000001,0.9329999999999999,0.9325,0.9259999999999999
GCA_001022035.1_ASM102203v1_genomic.fna.gz,1.0,0.9990000000000001,0.9990000000000001,0.997,0.9965,0.9990000000000001,0.9975,0.997,0.996,0.996,0.997
GCA_001902255.1_ASM190225v1_genomic.fna.gz,1.0,0.998,0.998,0.9955,0.9975,0.997,0.998,0.996,0.996,0.9940000000000001,0.998
GCA_002180175.1_ASM218017v1_genomic.fna.gz,1.0,0.9995,0.9985,0.9995,0.9990000000000001,0.9965,0.9985,0.997,0.997,0.9985,0.9940000000000001
GCA_002192335.1_ASM219233v1_genomic.fna.gz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995
GCA_002197225.1_ASM219722v1_genomic.fna.gz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GCA_002249975.3_ASM224997v3_genomic.fna.gz,1.0,0.998,0.9985,0.996,0.9985,0.9955,0.9965,0.9945,0.9965,0.9940000000000001,0.9965
GCA_002258055.3_ASM225805v3_genomic.fna.gz,1.0,0.993,0.9865,0.9875,0.987,0.9885,0.9915,0.9840000000000001,0.9885,0.9865,0.9835
GCA_002752975.1_ASM275297v1_genomic.fna.gz,1.0,1.0,0.9995,1.0,0.9995,0.9995,0.9990000000000001,1.0,0.9990000000000001,0.998,0.9985
GCA_002753055.1_ASM275305v1_genomic.fna.gz,1.0,1.0,0.9995,1.0,0.9985,0.9995,0.9995,0.9995,0.997,1.0,1.0
GCA_002753075.1_ASM275307v1_genomic.fna.gz,1.0,1.0,0.9995,1.0,0.9985,0.9995,0.9995,0.9995,0.997,1.0,1.0
GCA_002848585.1_ASM284858v1_genomic.fna.gz,1.0,0.99,0.992,0.9890000000000001,0.9905,0.9865,0.985,0.986,0.983,0.983,0.9875
GCA_002951555.1_ASM295155v1_genomic.fna.gz,1.0,0.9975,0.997,0.996,0.9935,0.9955,0.993,0.9935,0.9945,0.993,0.9935
GCA_002951595.1_ASM295159v1_genomic.fna.gz,1.0,0.9990000000000001,0.9975,0.998,0.9985,0.9955,0.9965,0.9940000000000001,0.9925,0.99,0.988
GCA_003038215.3_ASM303821v3_genomic.fna.gz,1.0,0.9875,0.9885,0.9935,0.9825,0.9890000000000001,0.9895,0.985,0.9875,0.9845,0.9815
GCA_003073675.1_ASM307367v1_genomic.fna.gz,1.0,1.0,1.0,0.9995,1.0,0.998,0.9995,0.9995,1.0,0.9975,0.9990000000000001
GCA_003368025.1_ASM336802v1_genomic.fna.gz,1.0,1.0,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9985,0.9990000000000001,0.9965,0.9975,0.9945
GCA_006494895.1_ASM649489v1_genomic.fna.gz,1.0,1.0,1.0,1.0,0.9995,0.9990000000000001,1.0,1.0,1.0,1.0,0.9995
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,1.0,1.0
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,1.0,0.9990000000000001,0.998,0.997,0.993,0.9945,0.995,0.9940000000000001,0.9935,0.9915,0.9895
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,1.0,0.996,0.996,0.996,0.9955,0.9940000000000001,0.996,0.9955,0.9955,0.996,0.991
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,1.0,0.9645,0.948,0.9415,0.9475,0.9305,0.9415,0.9275,0.9209999999999999,0.9185,0.915
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,1.0,0.9905,0.9875,0.9895,0.9905,0.9875,0.9885,0.9890000000000001,0.983,0.9855,0.986
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,1.0,0.9725,0.9555,0.9520000000000001,0.95,0.9455,0.927,0.932,0.9329999999999999,0.938,0.9295
GCA_902650055.1_Kp_29484_genomic.fna.gz,1.0,0.991,0.997,0.99,0.987,0.987,0.9885,0.9865,0.9845,0.985,0.987
