,GCA_000012185.1_ASM1218v1_genomic.fna.gz,GCA_000017425.1_ASM1742v1_genomic.fna.gz,GCA_000026605.1_ASM2660v1_genomic.fna.gz,GCA_000198515.1_ASM19851v1_genomic.fna.gz,GCA_000439255.1_ASM43925v1_genomic.fna.gz,GCA_000834495.1_ASM83449v1_genomic.fna.gz,GCA_000959405.1_ASM95940v1_genomic.fna.gz,GCA_001262015.1_ASM126201v1_genomic.fna.gz,GCA_001449085.1_ASM144908v1_genomic.fna.gz,GCA_001606335.1_ASM160633v1_genomic.fna.gz,GCA_001677155.1_ASM167715v1_genomic.fna.gz,GCA_001718815.1_ASM171881v1_genomic.fna.gz,GCA_001806485.1_ASM180648v1_genomic.fna.gz,GCA_001901045.1_ASM190104v1_genomic.fna.gz,GCA_002128165.1_ASM212816v1_genomic.fna.gz,GCA_002202175.1_ASM220217v1_genomic.fna.gz,GCA_003018395.1_ASM301839v1_genomic.fna.gz,GCA_003316815.2_ASM331681v2_genomic.fna.gz,GCA_003366075.1_ASM336607v1_genomic.fna.gz,GCA_003425465.1_ASM342546v1_genomic.fna.gz,GCA_004124175.2_ASM412417v2_genomic.fna.gz,GCA_008728395.1_ASM872839v1_genomic.fna.gz,GCA_008822745.1_ASM882274v1_genomic.fna.gz,GCA_011464655.1_ASM1146465v1_genomic.fna.gz,GCA_012220585.1_ASM1222058v1_genomic.fna.gz,GCA_012271835.1_ASM1227183v1_genomic.fna.gz,GCA_012317185.1_ASM1231718v1_genomic.fna.gz,GCA_012980785.1_ASM1298078v1_genomic.fna.gz,GCA_900236465.1_Bru_genome45_genomic.fna.gz,GCA_900332045.1_Brochothrix_thermosphacta_CD_337_genomic.fna.gz
GCA_000012185.1_ASM1218v1_genomic.fna.gz,1.0,5.941321808300706e-06,6.5560906334141746e-06,2.7002623518053385e-05,9.008739388715256e-05,0.00011341907980141799,6.883657191753803e-06,6.515351253444992e-06,3.3350640640679514e-05,4.278026671785088e-07,4.253586943529805e-07,6.070482976964852e-06,3.070719698223316e-05,9.235876937134994e-05,0.0,8.830235277479796e-05,9.210158401772725e-05,9.336741585481162e-05,5.296540035221991e-06,0.2526395047610355,0.00026579321174113364,5.440207633611132e-06,1.0728087134578928e-05,0.0,4.147111882166728e-05,0.0,0.0,8.399234909271465e-05,8.548713972270693e-06,7.923480010531437e-06
GCA_000017425.1_ASM1742v1_genomic.fna.gz,5.941321808300706e-06,1.0,3.6390853503209774e-05,2.0076232999563993e-06,3.0970708019061895e-06,4.058083464573685e-06,4.95408185381743e-06,2.361167188831846e-06,5.417546367539752e-06,9.838834426081657e-07,9.795687002549163e-07,4.39215516231957e-06,4.501792838998131e-06,2.978500521347906e-06,6.026213196201657e-06,2.877455561961743e-06,2.9721561804226495e-06,3.010475786743247e-06,3.932203128912595e-06,6.020864186678443e-06,2.9497161881407643e-06,3.0214614406126717e-06,4.475195716291515e-06,3.7815001449906764e-06,5.321715437232141e-06,8.3961585019501e-06,7.9789660578253e-06,4.620972437439735e-06,1.2634278693236555e-05,8.883385870471075e-05
GCA_000026605.1_ASM2660v1_genomic.fna.gz,6.5560906334141746e-06,3.6390853503209774e-05,1.0,2.598376045540667e-06,3.38596646450484e-06,3.880832181771015e-06,4.636895052639063e-06,3.2229608279445114e-06,5.130850061391736e-06,1.3846104426211894e-06,1.3769287329226414e-06,3.98827083731923e-06,5.599804995026055e-06,3.2213823595981508e-06,9.351831486923889e-06,3.0838879191774654e-06,3.2126754854143135e-06,3.2654173842303058e-06,3.490428198750566e-06,6.6873253579262296e-06,3.1819592319082444e-06,4.564326479426583e-06,5.7669031323103975e-06,6.45310336193779e-06,7.0254291607381e-06,3.813814047643754e-06,2.3354500642843788e-05,3.921297847292727e-06,1.1761125931789204e-05,5.165643156073964e-05
GCA_000198515.1_ASM19851v1_genomic.fna.gz,2.7002623518053385e-05,2.0076232999563993e-06,2.598376045540667e-06,1.0,3.002322378241089e-05,3.1544979335281105e-05,1.4806352161979123e-05,6.543042423124159e-06,4.253432197687527e-05,1.0428253977622844e-06,1.0384620377221336e-06,1.2743756882862708e-05,2.8678024823556082e-05,2.7770075555643448e-05,0.0,2.6666764376948352e-05,2.7713666595772867e-05,2.8054204974648138e-05,1.1456786011683824e-05,3.0216436014538422e-05,3.3454791945586876e-05,2.9857172881881507e-06,1.5007188322180613e-05,0.0,3.3303540541024345e-05,6.928393665785375e-07,6.60087138103101e-07,3.1097182704573e-05,1.3724042139541918e-05,2.5736238725918922e-06
GCA_000439255.1_ASM43925v1_genomic.fna.gz,9.008739388715256e-05,3.0970708019061895e-06,3.38596646450484e-06,3.002322378241089e-05,1.0,0.00033337624456438353,7.321023610108484e-06,6.3356051123771625e-06,2.8232536988724513e-05,2.032618651064828e-06,2.0243291980336476e-06,7.548515891556967e-06,1.7148491318317315e-05,0.003222473102359096,0.0,0.0031007691739439415,0.0031688247243439557,0.003077400692334688,6.880376430930471e-06,9.270275576236794e-05,0.02579094975650181,2.908129489035417e-06,1.0807077225964239e-05,0.0,1.8372627735023795e-05,0.0,0.0,0.0004868736367125367,6.270434562434654e-06,3.7271088223288604e-06
GCA_000834495.1_ASM83449v1_genomic.fna.gz,0.00011341907980141799,4.058083464573685e-06,3.880832181771015e-06,3.1544979335281105e-05,0.00033337624456438353,1.0,7.192903364898515e-06,5.257239956716246e-06,2.96799930996192e-05,2.052044359453327e-06,2.043596034197536e-06,6.725763710469324e-06,2.2220611583360507e-05,0.0005039813804348175,0.0,0.003092395955708015,0.00041904077475432236,0.00031417713610132624,6.055042567745967e-06,0.00011074010576148017,0.0003028885391715501,3.88042949432655e-06,7.48234256230802e-06,0.0,2.1728573182377693e-05,0.0,0.0,0.00034256641024861404,6.090763800814259e-06,5.174054493980967e-06
GCA_000959405.1_ASM95940v1_genomic.fna.gz,6.883657191753803e-06,4.95408185381743e-06,4.636895052639063e-06,1.4806352161979123e-05,7.321023610108484e-06,7.192903364898515e-06,1.0,3.6105115530728273e-06,1.1391108451238607e-05,2.9600582687470204e-06,2.949066850737589e-06,0.0031444864634226784,1.8116183953181156e-05,7.363833399141768e-06,1.235420875462472e-06,6.880046480145589e-06,7.722759269311598e-06,7.14834672378572e-06,0.0027512668583033494,6.955313980261354e-06,7.026256937273091e-06,2.641691860230348e-06,0.00011947714775463633,0.0,2.076462960113045e-05,1.1132140736976052e-06,1.066822771933367e-06,8.250718605857037e-06,9.278945446732034e-06,4.503793350380394e-06
GCA_001262015.1_ASM126201v1_genomic.fna.gz,6.515351253444992e-06,2.361167188831846e-06,3.2229608279445114e-06,6.543042423124159e-06,6.3356051123771625e-06,5.257239956716246e-06,3.6105115530728273e-06,1.0,4.967926075670257e-06,2.4034284426048067e-07,2.3918472451540577e-07,3.240530612583831e-06,3.904705113880725e-06,6.068730803845876e-06,0.0,5.842977459779572e-06,6.054511186012141e-06,6.140489738443383e-06,2.8759867330732003e-06,6.617025606886519e-06,6.004264949478914e-06,5.5982618260198334e-05,5.2895688701152084e-06,0.0,4.714790533643567e-06,0.0,0.0,7.1791961827352396e-06,4.337148216618868e-06,2.9688437314174396e-06
GCA_001449085.1_ASM144908v1_genomic.fna.gz,3.3350640640679514e-05,5.417546367539752e-06,5.130850061391736e-06,4.253432197687527e-05,2.8232536988724513e-05,2.96799930996192e-05,1.1391108451238607e-05,4.967926075670257e-06,1.0,8.324876646140295e-07,8.297046201769892e-07,1.1131129944589825e-05,1.9979010070433836e-05,2.699205788036064e-05,0.0,2.6617118546685732e-05,2.669726837567124e-05,2.788776779123386e-05,1.2552967109741412e-05,3.606985197647232e-05,2.7126225984761053e-05,2.372712853104161e-06,1.0855759523215041e-05,0.0,2.388541315741484e-05,0.0,0.0,2.8531029277528642e-05,8.574344693387348e-06,6.583948206840467e-06
GCA_001606335.1_ASM160633v1_genomic.fna.gz,4.278026671785088e-07,9.838834426081657e-07,1.3846104426211894e-06,1.0428253977622844e-06,2.032618651064828e-06,2.052044359453327e-06,2.9600582687470204e-06,2.4034284426048067e-07,8.324876646140295e-07,1.0,0.6321762649953105,2.622115514338531e-06,2.08369135354726e-06,1.963368838568182e-06,1.3481785770379572e-06,1.90387361173106e-06,1.959646373973231e-06,1.9821033902788334e-06,2.447567744850853e-06,4.3260372791936497e-07,1.9464659574782835e-06,1.9885262038040508e-07,3.2429428252406066e-06,0.0,2.4092245403611683e-06,1.1777675181140645e-06,1.1259650928301921e-06,2.2441183341550545e-06,3.4509668776199088e-06,1.172832354952239e-06
GCA_001677155.1_ASM167715v1_genomic.fna.gz,4.253586943529805e-07,9.795687002549163e-07,1.3769287329226414e-06,1.0384620377221336e-06,2.0243291980336476e-06,2.043596034197536e-06,2.949066850737589e-06,2.3918472451540577e-07,8.297046201769892e-07,0.6321762649953105,1.0,2.613209504293545e-06,2.0745245653734554e-06,1.9556335201452255e-06,1.3390860469912075e-06,1.8965991227660076e-06,1.951940301857808e-06,1.9742200424200662e-06,2.4400480201450367e-06,4.301047520123526e-07,1.9388629964507175e-06,1.980591784980618e-07,3.228396710286017e-06,0.0,2.396978192670873e-06,1.1727083892146649e-06,1.1213403401473788e-06,2.2340183354820865e-06,3.4344994761796143e-06,1.166706399501272e-06
GCA_001718815.1_ASM171881v1_genomic.fna.gz,6.070482976964852e-06,4.39215516231957e-06,3.98827083731923e-06,1.2743756882862708e-05,7.548515891556967e-06,6.725763710469324e-06,0.0031444864634226784,3.240530612583831e-06,1.1131129944589825e-05,2.622115514338531e-06,2.613209504293545e-06,1.0,1.5742432809328964e-05,7.836449216274158e-06,1.0684556888721142e-06,7.131991518237622e-06,7.8235543580982e-06,6.6129932090571555e-06,0.015965055418216693,6.126141494547617e-06,7.35513242408679e-06,2.411468115568576e-06,0.0001210127259650622,0.0,1.7585271085428612e-05,1.0098029837658565e-06,9.714819701336414e-07,7.4529617783454765e-06,8.135062117727406e-06,3.901502663750944e-06
GCA_001806485.1_ASM180648v1_genomic.fna.gz,3.070719698223316e-05,4.501792838998131e-06,5.599804995026055e-06,2.8678024823556082e-05,1.7148491318317315e-05,2.2220611583360507e-05,1.8116183953181156e-05,3.904705113880725e-06,1.9979010070433836e-05,2.08369135354726e-06,2.0745245653734554e-06,1.5742432809328964e-05,1.0,1.7264557092728268e-05,1.6724687394686734e-06,0.00032926058274952583,1.7227664581346216e-05,1.7450501819382608e-05,1.4844665670033275e-05,3.112037499360304e-05,0.00010489382870256856,4.153998375000744e-06,2.01494317796068e-05,0.0,0.0013275138772027364,9.769055856164328e-07,9.282017390787783e-07,2.228965235743996e-05,1.4063563169182597e-05,8.584875289356287e-06
GCA_001901045.1_ASM190104v1_genomic.fna.gz,9.235876937134994e-05,2.978500521347906e-06,3.2213823595981508e-06,2.7770075555643448e-05,0.003222473102359096,0.0005039813804348175,7.363833399141768e-06,6.068730803845876e-06,2.699205788036064e-05,1.963368838568182e-06,1.9556335201452255e-06,7.836449216274158e-06,1.7264557092728268e-05,1.0,0.0,0.17230749676764076,0.3975598371936319,0.02689825538890129,6.6196074157152715e-06,9.340784360257706e-05,0.0035207769653757773,2.8069525407481793e-06,1.1173837599218599e-05,0.0,1.8196289007814025e-05,0.0,0.0,0.000458319651726919,6.008909048912279e-06,3.5567171237487273e-06
GCA_002128165.1_ASM212816v1_genomic.fna.gz,0.0,6.026213196201657e-06,9.351831486923889e-06,0.0,0.0,0.0,1.235420875462472e-06,0.0,0.0,1.3481785770379572e-06,1.3390860469912075e-06,1.0684556888721142e-06,1.6724687394686734e-06,0.0,1.0,0.0,0.0,0.0,9.15422721615831e-07,0.0,0.0,0.0,1.736329659549162e-06,1.3804825172933046e-05,2.2527152258206217e-06,6.394134021448723e-06,5.888544572602074e-06,0.0,1.7205916475599061e-06,8.386708743982537e-06
GCA_002202175.1_ASM220217v1_genomic.fna.gz,8.830235277479796e-05,2.877455561961743e-06,3.0838879191774654e-06,2.6666764376948352e-05,0.0031007691739439415,0.003092395955708015,6.880046480145589e-06,5.842977459779572e-06,2.6617118546685732e-05,1.90387361173106e-06,1.8965991227660076e-06,7.131991518237622e-06,0.00032926058274952583,0.17230749676764076,0.0,1.0,0.16417323703751438,0.02903834655399211,1.525178671300405e-05,8.926082137528889e-05,0.0038300685017263673,2.7201481470399396e-06,1.078630178895718e-05,0.0,0.00010663197966949257,0.0,0.0,0.00043908218590531966,5.787503252576828e-06,3.4135751054794707e-06
GCA_003018395.1_ASM301839v1_genomic.fna.gz,9.210158401772725e-05,2.9721561804226495e-06,3.2126754854143135e-06,2.7713666595772867e-05,0.0031688247243439557,0.00041904077475432236,7.722759269311598e-06,6.054511186012141e-06,2.669726837567124e-05,1.959646373973231e-06,1.951940301857808e-06,7.8235543580982e-06,1.7227664581346216e-05,0.3975598371936319,0.0,0.16417323703751438,1.0,0.029249153046031904,6.609762757937345e-06,9.31447908120814e-05,0.004013612638745564,2.801518142681519e-06,1.1149487371347304e-05,0.0,1.8918251805255006e-05,0.0,0.0,0.00045754322240218443,5.994968063606132e-06,3.5476741710924997e-06
GCA_003316815.2_ASM331681v2_genomic.fna.gz,9.336741585481162e-05,3.010475786743247e-06,3.2654173842303058e-06,2.8054204974648138e-05,0.003077400692334688,0.00031417713610132624,7.14834672378572e-06,6.140489738443383e-06,2.788776779123386e-05,1.9821033902788334e-06,1.9742200424200662e-06,6.6129932090571555e-06,1.7450501819382608e-05,0.02689825538890129,0.0,0.02903834655399211,0.029249153046031904,1.0,5.971105741768753e-06,9.459110588993207e-05,0.003295883201698075,2.8343096011529162e-06,1.1296598468683319e-05,0.0,1.8423596631180485e-05,0.0,0.0,0.00045260168645963757,6.07925204773526e-06,3.6024073687642995e-06
GCA_003366075.1_ASM336607v1_genomic.fna.gz,5.296540035221991e-06,3.932203128912595e-06,3.490428198750566e-06,1.1456786011683824e-05,6.880376430930471e-06,6.055042567745967e-06,0.0027512668583033494,2.8759867330732003e-06,1.2552967109741412e-05,2.447567744850853e-06,2.4400480201450367e-06,0.015965055418216693,1.4844665670033275e-05,6.6196074157152715e-06,9.15422721615831e-07,1.525178671300405e-05,6.609762757937345e-06,5.971105741768753e-06,1.0,5.338861656131313e-06,6.651292242873083e-06,2.1768074537618887e-06,0.00010990570499146421,0.0,1.655536689919942e-05,9.057296788842464e-07,8.747795257374848e-07,6.656807763681276e-06,7.226600312795811e-06,3.4354737861898535e-06
