,GCA_000012185.1_ASM1218v1_genomic.fna.gz,GCA_000017425.1_ASM1742v1_genomic.fna.gz,GCA_000026605.1_ASM2660v1_genomic.fna.gz,GCA_000198515.1_ASM19851v1_genomic.fna.gz,GCA_000439255.1_ASM43925v1_genomic.fna.gz,GCA_000834495.1_ASM83449v1_genomic.fna.gz,GCA_000959405.1_ASM95940v1_genomic.fna.gz,GCA_001262015.1_ASM126201v1_genomic.fna.gz,GCA_001449085.1_ASM144908v1_genomic.fna.gz,GCA_001606335.1_ASM160633v1_genomic.fna.gz,GCA_001677155.1_ASM167715v1_genomic.fna.gz,GCA_001718815.1_ASM171881v1_genomic.fna.gz,GCA_001806485.1_ASM180648v1_genomic.fna.gz,GCA_001901045.1_ASM190104v1_genomic.fna.gz,GCA_002128165.1_ASM212816v1_genomic.fna.gz,GCA_002202175.1_ASM220217v1_genomic.fna.gz,GCA_003018395.1_ASM301839v1_genomic.fna.gz,GCA_003316815.2_ASM331681v2_genomic.fna.gz,GCA_003366075.1_ASM336607v1_genomic.fna.gz,GCA_003425465.1_ASM342546v1_genomic.fna.gz,GCA_004124175.2_ASM412417v2_genomic.fna.gz,GCA_008728395.1_ASM872839v1_genomic.fna.gz,GCA_008822745.1_ASM882274v1_genomic.fna.gz,GCA_011464655.1_ASM1146465v1_genomic.fna.gz,GCA_012220585.1_ASM1222058v1_genomic.fna.gz,GCA_012271835.1_ASM1227183v1_genomic.fna.gz,GCA_012317185.1_ASM1231718v1_genomic.fna.gz,GCA_012980785.1_ASM1298078v1_genomic.fna.gz,GCA_900236465.1_Bru_genome45_genomic.fna.gz,GCA_900332045.1_Brochothrix_thermosphacta_CD_337_genomic.fna.gz
GCA_000012185.1_ASM1218v1_genomic.fna.gz,1.0,0.0003206030164247349,0.00023724636477225048,0.000449537892806763,0.0007172227532806492,0.0008661877345626459,0.00012400023101083834,0.00018688318732172605,0.0004287930669546344,0.00013485149447218841,0.0001328718729135477,0.00010822839747793505,0.0003203811342095411,0.0008166445405673123,0.0,0.0007687367430701717,0.0008114212646940167,0.0008315186227023394,9.500584885156248e-05,0.3981880183607095,0.0006668167787373878,0.0,0.0,0.0,0.0006031290634467036,0.0001535596776184832,0.00014361042835153273,0.0009929610648267957,0.0005514517250851145,0.0002139933426494319
GCA_000017425.1_ASM1742v1_genomic.fna.gz,0.0,1.0,0.0006571952096588112,0.0,0.00023008645286152728,0.0,0.0,0.0,0.0,0.00021959507970184373,0.00021711059642963895,0.0,0.0,0.00022104726156527406,0.0,0.0002109755536003385,0.0002199626159150934,0.00022411824756771325,0.0,0.0,0.00021763960130664916,0.0,0.0,0.0003990509741349983,0.0,0.0,0.0,0.0,0.0,0.0009207345439134207
GCA_000026605.1_ASM2660v1_genomic.fna.gz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010315177874020905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004631528365371717,0.0,0.0,0.0
GCA_000198515.1_ASM19851v1_genomic.fna.gz,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_000439255.1_ASM43925v1_genomic.fna.gz,0.0,0.0,0.0,0.0,1.0,0.0007538549572014524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011697508459699465,0.0,0.010959648155939705,0.011889031516159285,0.01035345171757194,0.0,0.0,0.0682257455852342,0.0,0.0002769025192967874,0.0,0.0,0.0,0.0,0.0011040225597469568,0.0,0.0
GCA_000834495.1_ASM83449v1_genomic.fna.gz,0.0007120272545180895,0.0,0.0,0.0,0.0014956594805001595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003126969742148254,0.0,0.006702071198544896,0.0023925993124511344,0.0017031237772380274,0.0,0.0007182723151498404,0.0014200289118425414,0.0,0.0,0.0,0.0,0.0,0.0,0.001650419326470533,0.0,0.0
GCA_000959405.1_ASM95940v1_genomic.fna.gz,0.0,0.0,0.0,0.0,0.0002747354479287562,0.0,1.0,0.0,0.0006795363007920477,0.0,0.0,0.019755914603026895,0.0,0.0,0.0,0.0,0.0,0.0,0.017553025596510362,0.0,0.0,0.0,0.0006022557232659709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_001262015.1_ASM126201v1_genomic.fna.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_001449085.1_ASM144908v1_genomic.fna.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002516379372203252,0.0,0.0,0.0,0.0,0.0,0.0,0.0002312290423745191,0.0,0.0,0.0,0.00032328256336246566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_001606335.1_ASM160633v1_genomic.fna.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7211023578590195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
