,GCA_000012185.1_ASM1218v1_genomic.fna.gz,GCA_000017425.1_ASM1742v1_genomic.fna.gz,GCA_000026605.1_ASM2660v1_genomic.fna.gz,GCA_000198515.1_ASM19851v1_genomic.fna.gz,GCA_000439255.1_ASM43925v1_genomic.fna.gz,GCA_000834495.1_ASM83449v1_genomic.fna.gz,GCA_000959405.1_ASM95940v1_genomic.fna.gz,GCA_001262015.1_ASM126201v1_genomic.fna.gz,GCA_001449085.1_ASM144908v1_genomic.fna.gz,GCA_001606335.1_ASM160633v1_genomic.fna.gz,GCA_001677155.1_ASM167715v1_genomic.fna.gz,GCA_001718815.1_ASM171881v1_genomic.fna.gz,GCA_001806485.1_ASM180648v1_genomic.fna.gz,GCA_001901045.1_ASM190104v1_genomic.fna.gz,GCA_002128165.1_ASM212816v1_genomic.fna.gz,GCA_002202175.1_ASM220217v1_genomic.fna.gz,GCA_003018395.1_ASM301839v1_genomic.fna.gz,GCA_003316815.2_ASM331681v2_genomic.fna.gz,GCA_003366075.1_ASM336607v1_genomic.fna.gz,GCA_003425465.1_ASM342546v1_genomic.fna.gz,GCA_004124175.2_ASM412417v2_genomic.fna.gz,GCA_008728395.1_ASM872839v1_genomic.fna.gz,GCA_008822745.1_ASM882274v1_genomic.fna.gz,GCA_011464655.1_ASM1146465v1_genomic.fna.gz,GCA_012220585.1_ASM1222058v1_genomic.fna.gz,GCA_012271835.1_ASM1227183v1_genomic.fna.gz,GCA_012317185.1_ASM1231718v1_genomic.fna.gz,GCA_012980785.1_ASM1298078v1_genomic.fna.gz,GCA_900236465.1_Bru_genome45_genomic.fna.gz,GCA_900332045.1_Brochothrix_thermosphacta_CD_337_genomic.fna.gz
GCA_000012185.1_ASM1218v1_genomic.fna.gz,1.0,0.0085,0.007,0.004,0.006,0.0055,0.0015,0.005,0.0015,0.0,0.0005,0.0005,0.0135,0.006,0.0025,0.005,0.006,0.0065,0.001,0.487,0.0055,0.006,0.0025,0.01,0.0135,0.0055,0.004,0.005,0.0045,0.008
GCA_000017425.1_ASM1742v1_genomic.fna.gz,0.0085,1.0,0.01,0.0035,0.003,0.0085,0.004,0.0115,0.0035,0.0015,0.0015,0.0035,0.013,0.0085,0.003,0.0055,0.006,0.0075,0.004,0.011,0.0075,0.0115,0.0025,0.0145,0.009,0.011,0.0145,0.005,0.0025,0.019
GCA_000026605.1_ASM2660v1_genomic.fna.gz,0.007,0.01,1.0,0.0035,0.0045,0.008,0.0025,0.003,0.004,0.001,0.001,0.002,0.008,0.0035,0.002,0.003,0.0025,0.0075,0.003,0.0075,0.006,0.01,0.0025,0.0055,0.0025,0.0105,0.0115,0.004,0.0065,0.013
GCA_000198515.1_ASM19851v1_genomic.fna.gz,0.004,0.0035,0.0035,1.0,0.007,0.004,0.011,0.0035,0.0155,0.01,0.0125,0.0115,0.0065,0.007,0.0035,0.0085,0.0085,0.008,0.015,0.005,0.011,0.007,0.0125,0.0015,0.0055,0.002,0.0035,0.008,0.01,0.005
GCA_000439255.1_ASM43925v1_genomic.fna.gz,0.006,0.003,0.0045,0.007,1.0,0.0105,0.011,0.006,0.015,0.0095,0.011,0.0155,0.008,0.0395,0.002,0.0415,0.0405,0.0375,0.016,0.0055,0.1315,0.0085,0.0135,0.0025,0.007,0.008,0.0075,0.0195,0.01,0.0055
GCA_000834495.1_ASM83449v1_genomic.fna.gz,0.0055,0.0085,0.008,0.004,0.0105,1.0,0.005,0.0075,0.009,0.0085,0.009,0.0095,0.008,0.0165,0.004,0.0175,0.0165,0.0135,0.0075,0.008,0.011,0.0085,0.006,0.004,0.013,0.0125,0.012,0.018,0.0075,0.0075
GCA_000959405.1_ASM95940v1_genomic.fna.gz,0.0015,0.004,0.0025,0.011,0.011,0.005,1.0,0.002,0.0385,0.0345,0.035,0.131,0.003,0.0115,0.0,0.0105,0.011,0.01,0.1225,0.0015,0.0155,0.0045,0.05,0.0005,0.002,0.004,0.004,0.015,0.023,0.0015
GCA_001262015.1_ASM126201v1_genomic.fna.gz,0.005,0.0115,0.003,0.0035,0.006,0.0075,0.002,1.0,0.0035,0.0025,0.0025,0.002,0.005,0.006,0.0005,0.005,0.004,0.007,0.0045,0.004,0.0055,0.006,0.001,0.004,0.005,0.011,0.007,0.0015,0.004,0.003
GCA_001449085.1_ASM144908v1_genomic.fna.gz,0.0015,0.0035,0.004,0.0155,0.015,0.009,0.0385,0.0035,1.0,0.0305,0.028,0.033,0.004,0.0115,0.0,0.014,0.012,0.011,0.0325,0.0015,0.0175,0.0065,0.044,0.0005,0.001,0.005,0.0055,0.0165,0.019,0.001
GCA_001606335.1_ASM160633v1_genomic.fna.gz,0.0,0.0015,0.001,0.01,0.0095,0.0085,0.0345,0.0025,0.0305,1.0,0.7885,0.0355,0.003,0.011,0.001,0.011,0.01,0.0095,0.04,0.0,0.012,0.0035,0.035,0.0,0.0015,0.003,0.0045,0.009,0.0115,0.003
GCA_001677155.1_ASM167715v1_genomic.fna.gz,0.0005,0.0015,0.001,0.0125,0.011,0.009,0.035,0.0025,0.028,0.7885,1.0,0.037,0.003,0.01,0.001,0.009,0.0085,0.009,0.042,0.0,0.012,0.003,0.0355,0.0,0.0005,0.003,0.0045,0.01,0.0115,0.003
GCA_001718815.1_ASM171881v1_genomic.fna.gz,0.0005,0.0035,0.002,0.0115,0.0155,0.0095,0.131,0.002,0.033,0.0355,0.037,1.0,0.0015,0.0135,0.0005,0.0155,0.0175,0.012,0.172,0.001,0.019,0.0035,0.054,0.0015,0.004,0.006,0.0075,0.0175,0.023,0.003
GCA_001806485.1_ASM180648v1_genomic.fna.gz,0.0135,0.013,0.008,0.0065,0.008,0.008,0.003,0.005,0.004,0.003,0.003,0.0015,1.0,0.0065,0.003,0.0075,0.009,0.0045,0.003,0.013,0.009,0.0085,0.0015,0.006,0.022,0.007,0.006,0.0025,0.0025,0.0135
GCA_001901045.1_ASM190104v1_genomic.fna.gz,0.006,0.0085,0.0035,0.007,0.0395,0.0165,0.0115,0.006,0.0115,0.011,0.01,0.0135,0.0065,1.0,0.001,0.3755,0.566,0.1305,0.014,0.007,0.049,0.0055,0.011,0.0015,0.0065,0.007,0.008,0.0225,0.0115,0.007
GCA_002128165.1_ASM212816v1_genomic.fna.gz,0.0025,0.003,0.002,0.0035,0.002,0.004,0.0,0.0005,0.0,0.001,0.001,0.0005,0.003,0.001,1.0,0.002,0.002,0.0025,0.0005,0.003,0.002,0.003,0.0015,0.01,0.004,0.0025,0.004,0.0015,0.0005,0.0055
GCA_002202175.1_ASM220217v1_genomic.fna.gz,0.005,0.0055,0.003,0.0085,0.0415,0.0175,0.0105,0.005,0.014,0.011,0.009,0.0155,0.0075,0.3755,0.002,1.0,0.3575,0.14,0.014,0.0065,0.052,0.0055,0.0115,0.003,0.0085,0.0085,0.0095,0.0195,0.011,0.005
GCA_003018395.1_ASM301839v1_genomic.fna.gz,0.006,0.006,0.0025,0.0085,0.0405,0.0165,0.011,0.004,0.012,0.01,0.0085,0.0175,0.009,0.566,0.002,0.3575,1.0,0.1325,0.015,0.009,0.0495,0.007,0.0125,0.003,0.006,0.0075,0.009,0.022,0.01,0.0075
GCA_003316815.2_ASM331681v2_genomic.fna.gz,0.0065,0.0075,0.0075,0.008,0.0375,0.0135,0.01,0.007,0.011,0.0095,0.009,0.012,0.0045,0.1305,0.0025,0.14,0.1325,1.0,0.0145,0.006,0.0425,0.0045,0.0075,0.003,0.006,0.0055,0.0065,0.016,0.0115,0.0045
GCA_003366075.1_ASM336607v1_genomic.fna.gz,0.001,0.004,0.003,0.015,0.016,0.0075,0.1225,0.0045,0.0325,0.04,0.042,0.172,0.003,0.014,0.0005,0.014,0.015,0.0145,1.0,0.0015,0.0215,0.004,0.053,0.0015,0.0035,0.004,0.0055,0.0185,0.025,0.0015
GCA_003425465.1_ASM342546v1_genomic.fna.gz,0.487,0.011,0.0075,0.005,0.0055,0.008,0.0015,0.004,0.0015,0.0,0.0,0.001,0.013,0.007,0.003,0.0065,0.009,0.006,0.0015,1.0,0.005,0.005,0.0015,0.011,0.012,0.0065,0.0045,0.004,0.003,0.007
GCA_004124175.2_ASM412417v2_genomic.fna.gz,0.0055,0.0075,0.006,0.011,0.1315,0.011,0.0155,0.0055,0.0175,0.012,0.012,0.019,0.009,0.049,0.002,0.052,0.0495,0.0425,0.0215,0.005,1.0,0.01,0.0165,0.0025,0.0135,0.007,0.0055,0.0255,0.0085,0.007
