,k=30
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999921350107549
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999835164816491
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.9998704237196406
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.9998347988442153
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9997533971005713
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9997496200358496
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.9996453575182145
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9996327285405721
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9996183524222422
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9996148429519021
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9992180837068656
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9989068788162009
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.9986709192997152
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9982053224232994
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9971781605883157
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9968196413477232
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9967600717757705
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9967312849878571
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9965061551579851
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.9956816226655505
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.9956546086305204
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.989895808582298
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.9897921246897458
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9884227182657043
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9883057021119341
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.987648542446878
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9579764579896503
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9503156582212772
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.9460307533581552
