,k=10,k=15,k=20,k=25,k=30,k=35,k=40,k=45,k=50,k=55,k=60
GCA_000240185.2_ASM24018v2_genomic.fna.gz,1.0,0.9998862901236426,0.999847097163913,0.9998040258685852,0.9997496200358496,0.999693619981212,0.9996286717721908,0.9995474400532752,0.9994429471285178,0.9992983753036704,0.9991140970647392
GCA_000364385.3_ASM36438v3_genomic.fna.gz,1.0,0.9999110200801704,0.9998584544285186,0.999809548678068,0.9997533971005712,0.9996743450781388,0.9995745272853552,0.9994469162053377,0.9992814897089874,0.9990800288585242,0.9988217757535148
GCA_000417225.2_ASM41722v2_genomic.fna.gz,1.0,0.9979397908595382,0.9974040733072622,0.9970893189070709,0.9967600717757704,0.9964107119457792,0.9960444698776734,0.9956605806582718,0.9952489177624398,0.9948130820027632,0.9943475637412916
GCA_000597905.1_ASM59790v1_genomic.fna.gz,1.0,0.9998601841931484,0.9997756567905592,0.999710901542852,0.9996453575182144,0.9995764669932602,0.9995075897801764,0.9994381690334786,0.999368953247927,0.9992969472364509,0.9992197232429004
GCA_000739495.1_ASM73949v1_genomic.fna.gz,1.0,0.9759156448763896,0.9675435093674088,0.9627600422518752,0.9579764579896504,0.9531612448510932,0.9483083709843824,0.9433693760061972,0.938349912751056,0.9332694443871524,0.9281045486906284
GCA_001022035.1_ASM102203v1_genomic.fna.gz,1.0,0.9990580814636908,0.9987284466463608,0.9984823095643892,0.9982053224232994,0.9978907884921008,0.9975394554562028,0.9971556161731708,0.99672738061619,0.9962523946952404,0.9957367069948996
GCA_001902255.1_ASM190225v1_genomic.fna.gz,1.0,0.9982998686995372,0.9978176413217535,0.9975120309152994,0.9971781605883157,0.996821216070638,0.996425229193768,0.9959879491432936,0.995510692930961,0.9949949359781745,0.9944493985034812
GCA_002180175.1_ASM218017v1_genomic.fna.gz,1.0,0.999498209330495,0.9992328153297704,0.9989797085413502,0.9986709192997152,0.9982948885073786,0.9978513136660909,0.9973314146685882,0.9967310005984621,0.9960205919696408,0.9951924656873502
GCA_002192335.1_ASM219233v1_genomic.fna.gz,1.0,0.9999985386702556,0.9999966692961696,0.9999949257754684,0.9999921350107548,0.9999886493018448,0.9999828983523436,0.9999775015918932,0.9999714116525058,0.9999630604037324,0.999952624143468
GCA_002197225.1_ASM219722v1_genomic.fna.gz,1.0,0.9999927277151918,0.9999890988737264,0.9999870740209592,0.9999835164816492,0.9999792819954768,0.9999736917813974,0.9999662384606368,0.9999562453415279,0.9999437143605518,0.9999271218432954
GCA_002249975.3_ASM224997v3_genomic.fna.gz,1.0,0.9978801479725437,0.997384186437706,0.9970651591381529,0.9967312849878572,0.996391389545332,0.9960342385138832,0.9956534481362928,0.9952544797935404,0.9948383920751837,0.9944048124505551
GCA_002258055.3_ASM225805v3_genomic.fna.gz,1.0,0.9905153654332524,0.9892370136393396,0.9887588608007354,0.988305702111934,0.9878618936606712,0.9874325533519888,0.9870070078703452,0.9865805012877692,0.9861410296994131,0.9856757276936048
GCA_002752975.1_ASM275297v1_genomic.fna.gz,1.0,0.9998812013679774,0.9998008680716888,0.9997253889964284,0.999632728540572,0.9995086628797756,0.9993551820605108,0.999164812928996,0.9989325822827948,0.9986508398057966,0.99830942713481
GCA_002753055.1_ASM275305v1_genomic.fna.gz,1.0,0.9998767685479134,0.999790976802352,0.9997116313786408,0.999614842951902,0.999485042476878,0.9993251050088591,0.9991277795029428,0.9988888340077202,0.9986004842537606,0.9982519183447376
GCA_002753075.1_ASM275307v1_genomic.fna.gz,1.0,0.9998776881650474,0.9997927418221833,0.9997142717092452,0.9996183524222422,0.9994894111998158,0.9993303212910338,0.9991338286321196,0.9988956984129974,0.9986081417048532,0.9982605214919272
GCA_002848585.1_ASM284858v1_genomic.fna.gz,1.0,0.9920109249702954,0.9902559471109303,0.9893207489944724,0.9884227182657044,0.9875569494367104,0.9867210377306788,0.9859166720977088,0.9851151492304993,0.9843164735640592,0.9835266571565352
GCA_002951555.1_ASM295155v1_genomic.fna.gz,1.0,0.9984499700850716,0.9977375787750072,0.9971527032349748,0.9965061551579852,0.9957719973904472,0.994941383009814,0.9940022181541016,0.9929465264684364,0.9917613908715128,0.9904269211319392
GCA_002951595.1_ASM295159v1_genomic.fna.gz,1.0,0.9985956828104544,0.9979506014637272,0.9974176881334932,0.9968196413477232,0.9961293416948428,0.9953385359917668,0.9944390921185308,0.9934169081347206,0.9922564665462296,0.9909391290549906
GCA_003038215.3_ASM303821v3_genomic.fna.gz,1.0,0.9906327273306158,0.9888085958879712,0.9882301074884504,0.9876485424468779,0.9870705949328096,0.9865013362904771,0.9859361469117109,0.9853636911985931,0.9847969089763986,0.9842227951946406
GCA_003073675.1_ASM307367v1_genomic.fna.gz,1.0,0.9996413063162914,0.9994725753332332,0.9993480944305534,0.9992180837068656,0.9990825299887872,0.9989442265151176,0.9987989599436768,0.9986469050283929,0.9984880602130856,0.998321717315458
GCA_003368025.1_ASM336802v1_genomic.fna.gz,1.0,0.999678960685859,0.9994300265000666,0.9991878914878652,0.9989068788162008,0.9985895811570789,0.9982140266556736,0.9977754742392752,0.997279626908514,0.9967170846204404,0.9960841210371928
GCA_006494895.1_ASM649489v1_genomic.fna.gz,1.0,0.9999468477266916,0.9999085207616212,0.9998717432757946,0.9998347988442152,0.999794244736282,0.9997495580512504,0.999701089131625,0.9996484941846872,0.9995921192110644,0.9995307543301168
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,1.0,0.9999461933419967,0.9999210511397328,0.99989721517361,0.9998704237196406,0.9998401836812978,0.9998059753696126,0.9997676313601392,0.999724981541398,0.9996759515010296,0.9996146636063442
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,1.0,0.997579774598902,0.996797456672481,0.9962498375830959,0.9956816226655504,0.995073587551624,0.9944092312977876,0.9937062461625588,0.9929667654706196,0.9921759456035928,0.991315383035538
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,1.0,0.9977114425461342,0.9968786369080216,0.9962890840675649,0.9956546086305204,0.9949683073667908,0.9942297268164844,0.9934379422499192,0.9925789773262088,0.9916330202530559,0.9905836723784004
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,1.0,0.9665237241533235,0.9562431219285262,0.9510901549066558,0.9460307533581552,0.9409938086522684,0.9359749635846228,0.930887889799318,0.9257186901083979,0.920498174549552,0.9151949947117484
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,1.0,0.9923844060999388,0.9909911587458484,0.9903762350598776,0.9897921246897458,0.9892341206933905,0.9886861182780379,0.9881559555469966,0.9876399294181291,0.9871232507010588,0.9865886981058242
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,1.0,0.9696014029554908,0.9599626783361452,0.95513294710124,0.9503156582212772,0.9454536091309867,0.940555854777912,0.9355507416372,0.9304389565026142,0.9252486499155536,0.9199575154721298
GCA_902650055.1_Kp_29484_genomic.fna.gz,1.0,0.9928265526638994,0.9914141523611352,0.9906591759191542,0.989895808582298,0.989118812662597,0.988317945540542,0.9874856408243518,0.9866193513432758,0.9857166019062644,0.9847745579987496
